id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-21 00:28:24,"{""short_code"":""0VZ3jd"",""original_url"":""https://acme.dev/jade/island/1""}"
2,2,391,created,2025-10-01 15:17:33,"{""short_code"":""Zb4VAo"",""original_url"":""https://opswise.net/brisk/network/2""}"
3,3,62,created,2025-05-16 19:23:43,"{""short_code"":""xREf4G"",""original_url"":""https://hackstack.io/ivory/field/3""}"
4,4,241,created,2026-02-08 00:48:34,"{""short_code"":""19LuR5"",""original_url"":""https://example.com/young/beacon/4""}"
5,5,338,created,2025-06-22 22:38:49,"{""short_code"":""TLD4LP"",""original_url"":""https://hackstack.io/calm/garden/5""}"
6,6,363,created,2025-04-17 20:43:50,"{""short_code"":""JWXaTd"",""original_url"":""https://seeded.app/silver/river/6""}"
7,7,360,created,2025-10-02 17:37:28,"{""short_code"":""qmnhTP"",""original_url"":""https://opswise.net/brisk/canyon/7""}"
8,8,105,created,2026-01-03 15:24:44,"{""short_code"":""n1lt3z"",""original_url"":""https://seeded.app/warm/canyon/8""}"
9,9,271,created,2025-07-06 21:17:35,"{""short_code"":""9haGl4"",""original_url"":""https://opswise.net/jade/anchor/9""}"
10,10,123,created,2025-05-20 19:06:35,"{""short_code"":""I6KpBT"",""original_url"":""https://seeded.app/warm/meadow/10""}"
11,11,189,created,2025-12-01 13:40:05,"{""short_code"":""V64KP6"",""original_url"":""https://acme.dev/keen/delta/11""}"
12,12,363,created,2025-01-16 07:36:49,"{""short_code"":""zwIe20"",""original_url"":""https://hackstack.io/dawn/quartz/12""}"
13,13,191,created,2025-02-06 02:53:28,"{""short_code"":""I44uW6"",""original_url"":""https://relay.cloud/cobalt/kernel/13""}"
14,14,174,created,2025-07-08 22:11:46,"{""short_code"":""xcmLR0"",""original_url"":""https://opswise.net/navy/quartz/14""}"
15,15,29,created,2025-06-06 06:56:31,"{""short_code"":""K7cgFo"",""original_url"":""https://opswise.net/tidy/uplink/15""}"
16,16,289,created,2025-05-02 04:10:46,"{""short_code"":""DgNwh2"",""original_url"":""https://hackstack.io/amber/zenith/16""}"
17,17,21,created,2025-11-01 01:24:25,"{""short_code"":""nEJnXa"",""original_url"":""https://opswise.net/young/window/17""}"
18,18,181,created,2025-04-25 12:41:54,"{""short_code"":""0TABEs"",""original_url"":""https://example.com/dawn/engine/18""}"
19,19,322,created,2025-09-14 13:41:47,"{""short_code"":""4oBAX7"",""original_url"":""https://hackstack.io/keen/orbit/19""}"
20,20,296,created,2025-07-27 05:41:30,"{""short_code"":""eb63zr"",""original_url"":""https://seeded.app/young/uplink/20""}"
21,21,277,created,2025-02-20 08:38:35,"{""short_code"":""2oiK4S"",""original_url"":""https://example.com/harbor/valley/21""}"
22,22,356,created,2025-03-27 02:55:01,"{""short_code"":""P8btBQ"",""original_url"":""https://seeded.app/opal/lagoon/22""}"
23,23,158,created,2025-02-07 22:29:16,"{""short_code"":""AaC7x0"",""original_url"":""https://relay.cloud/forest/lagoon/23""}"
24,24,127,created,2025-04-14 02:45:16,"{""short_code"":""3kptDN"",""original_url"":""https://hackstack.io/rapid/field/24""}"
25,25,193,created,2026-02-01 20:11:09,"{""short_code"":""HYPXkq"",""original_url"":""https://acme.dev/rapid/beacon/25""}"
26,26,202,created,2026-01-16 03:14:22,"{""short_code"":""BWor8w"",""original_url"":""https://relay.cloud/cobalt/kernel/26""}"
27,27,169,created,2025-07-09 21:12:16,"{""short_code"":""Vb77ff"",""original_url"":""https://acme.dev/quiet/harvest/27""}"
28,28,106,created,2026-01-27 20:01:03,"{""short_code"":""lfaHnT"",""original_url"":""https://opswise.net/dawn/lagoon/28""}"
29,29,231,created,2025-11-12 19:39:47,"{""short_code"":""V9tLoR"",""original_url"":""https://seeded.app/vivid/pioneer/29""}"
30,30,349,created,2025-12-11 19:31:09,"{""short_code"":""IMfabP"",""original_url"":""https://acme.dev/amber/canyon/30""}"
